"Codons_excluded","frequency"
1,3.95124371858
2,4.29045944115
3,5.34233425196
4,6.40025744531
5,7.30720231476
6,8.12976444579
7,8.71423914361
8,9.11272754311
9,9.48097800982
10,9.7579414139
11,9.98285310792
12,10.1361060742
13,10.2950227551
14,10.3938757476
15,10.5150449961
16,10.6118188684
17,10.6995973762
18,10.7719736345
19,10.8633931752
20,10.946657601
21,11.0272476347
22,11.114684202
23,11.1715894192
24,11.2213424604
25,11.2476309114
26,11.2631042071
27,11.2489859605
28,11.2216101336
29,11.1852682615
30,11.142310958
31,11.0946942153
32,11.0343411265
33,10.9869523619
34,10.9226597297
35,10.8564573087
36,10.7871517816
37,10.7263682981
38,10.6330148772
39,10.5746702707
40,10.4885761364
41,10.4134628148
42,10.3114827905
43,10.2226319542
44,10.1307028032
45,10.020381304
46,9.89409356689
47,9.74998666155
48,9.58980367755
49,9.43292376643
50,9.2983512493
51,9.13064760307
52,8.95635094049
53,8.75289752478
54,8.49494758247
55,8.23985741102
56,8.00369733909
57,7.58629630715
58,7.15617663748
59,6.64639051485
60,5.88887795833
61,4.8283137373
62,0
63,0
64,0
